name,district_name,address,priceRange,lat,lon,tags,website,phone,openingHours,featuredDish,city,photoUrl
Dulce Perú Sucursal 6,Eixample,Carrer de Mallorca 290 bis 6,€,41.390255,2.161832,postres,,+34 600 000 009,S-D 16:00–22:00,Suspiro a la limeña,Barcelona,
Ceviche Bar BCN Sucursal 6,Ciutat Vella,Plaça Reial 3 bis 6,€€,41.377809,2.173198,ceviche,,+34 600 000 010,L-D 12:00–23:00,Ceviche mixto,Barcelona,
Andes Veg Sucursal 6,Gràcia,Carrer de Rabassa 21 bis 6,€,41.404763,2.160844,veg-friendly,,+34 600 000 011,L-V 12:00–16:00,Quinua salteada,Barcelona,
Cevichería Lima Sucursal 7,Eixample,Carrer de Provença 123 bis 7,€€,41.393932,2.160323,ceviche,https://ejemplo.com,+34 600 000 000,L-D 12:00–23:00,Ceviche clásico,Barcelona,
Anticuchos Don Paco Sucursal 7,Gràcia,Carrer Verdi 88 bis 7,€€,41.406796,2.148998,anticuchos,,+34 600 000 001,M-S 13:00–23:30,Anticuchos de corazón,Barcelona,
La Chifa de Barrio Sucursal 7,Sants-Montjuïc,Carrer de Sants 230 bis 7,€,41.369708,2.137150,chifa,,+34 600 000 002,L-V 12:30–16:00,Arroz chaufa,Barcelona,
Criolla y Ají Sucursal 7,Sant Martí,Av. Diagonal 245 bis 7,€€,41.406984,2.195054,criolla,,+34 600 000 003,L-D 12:00–22:30,Ají de gallina,Barcelona,
Nikkei Bcn Sucursal 7,Eixample,Roger de Llúria 12 bis 7,€€€,41.396435,2.166840,nikkei,,+34 600 000 004,M-D 13:00–23:00,Rolls nikkei,Barcelona,
El Rincón Peruano Sucursal 7,Ciutat Vella,Carrer d'Avinyó 35 bis 7,€,41.378270,2.174622,menu-del-dia,,+34 600 000 005,L-S 12:00–22:00,Lomo saltado,Barcelona,
Parrilla Inka Sucursal 7,Sants-Montjuïc,Gran Via 180 bis 7,€€,41.371345,2.150920,parrilla,,+34 600 000 006,V-D 13:00–23:45,Costillas a la brasa,Barcelona,
Causa & Sabor Sucursal 7,Gràcia,Carrer de l'Or 15 bis 7,€,41.407564,2.155451,postres,,+34 600 000 007,L-D 12:00–21:30,Causa limeña,Barcelona,
Picantería Andina Sucursal 7,Sant Martí,Carrer de Llull 200 bis 7,€€,41.406651,2.201976,picante,,+34 600 000 008,M-D 12:30–22:30,Rocoto relleno,Barcelona,
Dulce Perú Sucursal 7,Eixample,Carrer de Mallorca 290 bis 7,€,41.394714,2.163577,postres,,+34 600 000 009,S-D 16:00–22:00,Suspiro a la limeña,Barcelona,
Ceviche Bar BCN Sucursal 7,Ciutat Vella,Plaça Reial 3 bis 7,€€,41.378344,2.178119,ceviche,,+34 600 000 010,L-D 12:00–23:00,Ceviche mixto,Barcelona,
Andes Veg Sucursal 7,Gràcia,Carrer de Rabassa 21 bis 7,€,41.403323,2.158701,veg-friendly,,+34 600 000 011,L-V 12:00–16:00,Quinua salteada,Barcelona,
Cevichería Lima Sucursal 8,Eixample,Carrer de Provença 123 bis 8,€€,41.389890,2.161784,ceviche,https://ejemplo.com,+34 600 000 000,L-D 12:00–23:00,Ceviche clásico,Barcelona,
Anticuchos Don Paco Sucursal 8,Gràcia,Carrer Verdi 88 bis 8,€€,41.410365,2.150232,anticuchos,,+34 600 000 001,M-S 13:00–23:30,Anticuchos de corazón,Barcelona,
La Chifa de Barrio Sucursal 8,Sants-Montjuïc,Carrer de Sants 230 bis 8,€,41.376085,2.133197,chifa,,+34 600 000 002,L-V 12:30–16:00,Arroz chaufa,Barcelona,
Criolla y Ají Sucursal 8,Sant Martí,Av. Diagonal 245 bis 8,€€,41.406366,2.198029,criolla,,+34 600 000 003,L-D 12:00–22:30,Ají de gallina,Barcelona,
Nikkei Bcn Sucursal 8,Eixample,Roger de Llúria 12 bis 8,€€€,41.395206,2.170732,nikkei,,+34 600 000 004,M-D 13:00–23:00,Rolls nikkei,Barcelona,
El Rincón Peruano Sucursal 8,Ciutat Vella,Carrer d'Avinyó 35 bis 8,€,41.379931,2.175593,menu-del-dia,,+34 600 000 005,L-S 12:00–22:00,Lomo saltado,Barcelona,
Parrilla Inka Sucursal 8,Sants-Montjuïc,Gran Via 180 bis 8,€€,41.375491,2.157114,parrilla,,+34 600 000 006,V-D 13:00–23:45,Costillas a la brasa,Barcelona,
Causa & Sabor Sucursal 8,Gràcia,Carrer de l'Or 15 bis 8,€,41.406568,2.155941,postres,,+34 600 000 007,L-D 12:00–21:30,Causa limeña,Barcelona,
Picantería Andina Sucursal 8,Sant Martí,Carrer de Llull 200 bis 8,€€,41.403807,2.202830,picante,,+34 600 000 008,M-D 12:30–22:30,Rocoto relleno,Barcelona,
Dulce Perú Sucursal 8,Eixample,Carrer de Mallorca 290 bis 8,€,41.393172,2.168827,postres,,+34 600 000 009,S-D 16:00–22:00,Suspiro a la limeña,Barcelona,
Ceviche Bar BCN Sucursal 8,Ciutat Vella,Plaça Reial 3 bis 8,€€,41.381624,2.178333,ceviche,,+34 600 000 010,L-D 12:00–23:00,Ceviche mixto,Barcelona,
Andes Veg Sucursal 8,Gràcia,Carrer de Rabassa 21 bis 8,€,41.408363,2.163754,veg-friendly,,+34 600 000 011,L-V 12:00–16:00,Quinua salteada,Barcelona,
Cevichería Lima Sucursal 9,Eixample,Carrer de Provença 123 bis 9,€€,41.395958,2.162465,ceviche,https://ejemplo.com,+34 600 000 000,L-D 12:00–23:00,Ceviche clásico,Barcelona,
Anticuchos Don Paco Sucursal 9,Gràcia,Carrer Verdi 88 bis 9,€€,41.406206,2.154653,anticuchos,,+34 600 000 001,M-S 13:00–23:30,Anticuchos de corazón,Barcelona,
La Chifa de Barrio Sucursal 9,Sants-Montjuïc,Carrer de Sants 230 bis 9,€,41.370521,2.132711,chifa,,+34 600 000 002,L-V 12:30–16:00,Arroz chaufa,Barcelona,
Criolla y Ají Sucursal 9,Sant Martí,Av. Diagonal 245 bis 9,€€,41.411434,2.193542,criolla,,+34 600 000 003,L-D 12:00–22:30,Ají de gallina,Barcelona,
Nikkei Bcn Sucursal 9,Eixample,Roger de Llúria 12 bis 9,€€€,41.397092,2.167368,nikkei,,+34 600 000 004,M-D 13:00–23:00,Rolls nikkei,Barcelona,
El Rincón Peruano Sucursal 9,Ciutat Vella,Carrer d'Avinyó 35 bis 9,€,41.382066,2.179488,menu-del-dia,,+34 600 000 005,L-S 12:00–22:00,Lomo saltado,Barcelona,
Parrilla Inka Sucursal 9,Sants-Montjuïc,Gran Via 180 bis 9,€€,41.374521,2.152308,parrilla,,+34 600 000 006,V-D 13:00–23:45,Costillas a la brasa,Barcelona,
Causa & Sabor Sucursal 9,Gràcia,Carrer de l'Or 15 bis 9,€,41.407969,2.155016,postres,,+34 600 000 007,L-D 12:00–21:30,Causa limeña,Barcelona,
Picantería Andina Sucursal 9,Sant Martí,Carrer de Llull 200 bis 9,€€,41.401581,2.207115,picante,,+34 600 000 008,M-D 12:30–22:30,Rocoto relleno,Barcelona,
Dulce Perú Sucursal 9,Eixample,Carrer de Mallorca 290 bis 9,€,41.394564,2.168133,postres,,+34 600 000 009,S-D 16:00–22:00,Suspiro a la limeña,Barcelona,
Ceviche Bar BCN Sucursal 9,Ciutat Vella,Plaça Reial 3 bis 9,€€,41.380702,2.178108,ceviche,,+34 600 000 010,L-D 12:00–23:00,Ceviche mixto,Barcelona,
Andes Veg Sucursal 9,Gràcia,Carrer de Rabassa 21 bis 9,€,41.407784,2.162611,veg-friendly,,+34 600 000 011,L-V 12:00–16:00,Quinua salteada,Barcelona,
Cevichería Lima Sucursal 10,Eixample,Carrer de Provença 123 bis 10,€€,41.396191,2.161443,ceviche,https://ejemplo.com,+34 600 000 000,L-D 12:00–23:00,Ceviche clásico,Barcelona,
Anticuchos Don Paco Sucursal 10,Gràcia,Carrer Verdi 88 bis 10,€€,41.409548,2.149315,anticuchos,,+34 600 000 001,M-S 13:00–23:30,Anticuchos de corazón,Barcelona,
La Chifa de Barrio Sucursal 10,Sants-Montjuïc,Carrer de Sants 230 bis 10,€,41.373247,2.131214,chifa,,+34 600 000 002,L-V 12:30–16:00,Arroz chaufa,Barcelona,
Criolla y Ají Sucursal 10,Sant Martí,Av. Diagonal 245 bis 10,€€,41.406901,2.198957,criolla,,+34 600 000 003,L-D 12:00–22:30,Ají de gallina,Barcelona,
Nikkei Bcn Sucursal 10,Eixample,Roger de Llúria 12 bis 10,€€€,41.397530,2.168194,nikkei,,+34 600 000 004,M-D 13:00–23:00,Rolls nikkei,Barcelona,
El Rincón Peruano Sucursal 10,Ciutat Vella,Carrer d'Avinyó 35 bis 10,€,41.379451,2.177908,menu-del-dia,,+34 600 000 005,L-S 12:00–22:00,Lomo saltado,Barcelona,
Parrilla Inka Sucursal 10,Sants-Montjuïc,Gran Via 180 bis 10,€€,41.370400,2.150900,parrilla,,+34 600 000 006,V-D 13:00–23:45,Costillas a la brasa,Barcelona,
Causa & Sabor Sucursal 10,Gràcia,Carrer de l'Or 15 bis 10,€,41.405037,2.158357,postres,,+34 600 000 007,L-D 12:00–21:30,Causa limeña,Barcelona,
Picantería Andina Sucursal 10,Sant Martí,Carrer de Llull 200 bis 10,€€,41.408062,2.202917,picante,,+34 600 000 008,M-D 12:30–22:30,Rocoto relleno,Barcelona,
Dulce Perú Sucursal 10,Eixample,Carrer de Mallorca 290 bis 10,€,41.394421,2.162867,postres,,+34 600 000 009,S-D 16:00–22:00,Suspiro a la limeña,Barcelona,
Ceviche Bar BCN Sucursal 10,Ciutat Vella,Plaça Reial 3 bis 10,€€,41.379383,2.178302,ceviche,,+34 600 000 010,L-D 12:00–23:00,Ceviche mixto,Barcelona,
Andes Veg Sucursal 10,Gràcia,Carrer de Rabassa 21 bis 10,€,41.402347,2.159982,veg-friendly,,+34 600 000 011,L-V 12:00–16:00,Quinua salteada,Barcelona,
